Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,LtdHeight,AllZoning1,AllZoning2,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,BuiltCode,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,Version
MN,1,10,101,5,1018,2,1,10004,E007,1,1 GOVERNORS ISLAND,R3-2,,,,,,GI,,,R3-2/GI,,N,Y4,8,0,P,GOVERNORS ISLAND CORP,7736692,2725731,2725731,0,0,0,0,0,0,2725731,7,182,0,0,0,0,0,0,0,,0,N,5,5,104445450,152627400,104445450,152627400,1900,E,0,0,Governors Island,GOVERNORS ISLAND VARIOUS SITES,0.35,0.6,0,1,1,1000010010,0,5,979071,190225,16a,Y,199 999,10101,,0,,1,14v1
MN,1,101,101,1,1001,2,1,10004,E007,1,1 LIBERTY ISLAND,R3-2,,,,,,,,,R3-2,,N,P7,8,0,X,U S GOVT LAND & BLDGS,541886,541886,541886,0,0,0,0,0,0,541886,7,10,0,0,0,500,1046,0,0,,0,Y,5,5,4225950,10576350,4225950,10576350,1900,E,0,0,,STATUE OF LIBERTY,1,0.6,0,1,1,1000010101,0,1,971677,190636,16a,Y,199 999,10101,,0,,1,14v1
MN,1,201,101,1,1000,2,,10004,E007,1,1 ELLIS ISLAND,R3-2,,,,,,,,,R3-2,,N,Z9,,0,X,U S GOVT LAND & BLDGS,2764190,603130,603130,0,0,0,0,0,0,603130,7,7,0,0,0,0,0,0,0,,0,N,5,5,14972400,98689500,14972400,98689500,1900,E,0,0,Ellis Island,,0.22,0.6,0,1,1,1000010201,0,1,972790,193648,12b,,199 999,10101,,0,,1,14v1
MN,1,301,101,,,2,1,10004,E007,1,        JOE DIMAGGIO HIGHWAY,ZNA,,,,,,,,,ZNA,,N,U0,7,0,,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,,0,N,0,5,0,0,0,0,0,,0,0,,,0,0,0,0,1,1000010301,0,0,,,12b,,199 999,10101,,0,,4,14v1
MN,1,401,101,,,2,1,10004,E007,1,        JOE DIMAGGIO HIGHWAY,ZNA,,,,,,,,,ZNA,,N,U0,7,0,,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,,0,N,0,5,0,0,0,0,0,,0,0,,,0,0,0,0,1,1000010401,0,0,,,12b,,1 99 999,10101,,0,,4,14v1
MN,2,1,101,9,1019,2,1,10004,L015,1,        MARGINAL STREET,M1-4,,,,,,LM,,,M1-4/LM,,N,Y7,7,0,C,DEPT OF GENERAL SERVI,209215,280000,280000,0,0,0,0,0,0,280000,7,2,5,0,0,709.42,564.42,268,210,E,0,Y,5,5,18818100,30345750,18818100,30345750,1900,E,2006,0,,WHITEHALL FERRY TERMINAL,1.34,0,2,6.5,1,1000020001,0,9,980670,194440,12b,,101N100,10101,,0,,1,14v1
MN,2,2,101,9,1019,2,1,10004,L015,1,        MARGINAL STREET,C4-6,,,,,,LM,,,C4-6/LM,,N,Y7,7,0,X,,191502,105368,105368,0,0,0,0,0,0,105368,7,1,5,0,0,311,555,205,270,,0,N,2,5,18787500,18892800,18787500,18892800,1900,,0,0,,,0.55,10,3.4,10,1,1000020002,0,9,981037,194506,12b,,11N 100,10101,,1000020001,8/7/2012,1,14v1
MN,2,3,101,9,,2,1,10004,L015,1,        MARGINAL STREET,C4-6,,,,,,LM,,,C4-6/LM,,N,Y7,7,0,,,38800,7500,7500,0,0,0,0,0,0,7500,7,0,1,0,0,91.9,564.56,50,75,,0,N,2,5,735750,774900,0,0,1900,,0,0,,,0.19,10,3.4,10,1,1000020003,0,9,,,12b,,101N100,10101,,1000020001,8/7/2012,1,14v1
MN,2,23,101,9,1025,2,1,10004,L015,1,1 PIER 6,C4-6,,,,,,LM,,,C4-6/LM,,N,T2,7,0,C,DEPT OF SMALL BUSINES,510025,24346,24346,0,0,0,0,0,0,24346,7,1,2,0,0,793.67,551,85,551,,0,Y,5,5,15255450,16635600,15255450,16635600,1987,,0,0,,,0.05,10,3.4,10,1,1000020023,0,9,981687,194732,12b,,101N100,10101,,0,,1,14v1
MN,3,1,101,319,1000,2,1,10004,L015,1,        BATTERY PARK,PARK,,,,,,,,,PARK,,N,Q1,9,0,C,PARKS AND RECREATION,945425,945425,945425,0,0,0,0,0,0,945425,7,6,1,0,4,323,1260,89,57,,1,Y,1,0,127100700,129840750,127100700,129840750,1951,,0,0,,CASTLE CLINTON,1,0,0,0,1,1000030001,0,319,979916,195328,12b,,101S087,10101,,0,,1,14v1
MN,3,2,101,9,1020,2,1,10004,L015,1,        PETER MINUIT PLAZA,PARK,,,,,,,,,PARK,,N,Q1,9,0,C,PARKS AND RECREATION,39900,0,0,0,0,0,0,0,0,0,7,0,0,0,0,496,76,0,0,,0,Y,1,5,4913100,4913100,4913100,4913100,0,,0,0,,,0,0,0,0,1,1000030002,0,9,980470,194954,12b,,101S086,10101,,0,,1,14v1
MN,3,3,101,9,1020,2,1,10004,L015,1,        PETER MINUIT PLAZA,PARK,,,,,,,,,PARK,,N,Q1,9,0,C,PARKS AND RECREATION,33600,0,0,0,0,0,0,0,0,0,7,1,0,0,1,180,370,0,0,,1,Y,1,0,4143600,4143600,4143600,4143600,0,,0,0,,,0,0,0,0,1,1000030003,0,9,980605,195017,12b,,101S087,10101,,1000030003,8/5/2009,1,14v1
MN,3,4,101,,,,,,,,,PARK,,,,,,,,,PARK,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,0,,,0,0,0,0,1,1000030004,0,0,,,12b,,11S 087,1,,,,3,14v1
