State,Migration
Alabama,3987155
Alaska,565031
Arizona,5069002
Arkansas,2387806
California,30790221
Colorado,4042039
Connecticut,3100742
Delaware,764640
District of Columbia ,474676
Florida,15554008
Georgia,8015409
Hawaii,1140572
Idaho,1279856
Illinois,11009852
Indiana,5431015
Iowa,2553210
Kansas,2341401
Kentucky,3638259
Louisiana,3826390
Maine,1136780
Maryland,4917637
Massachusetts,5583650
Michigan,8310098
Minnesota,4480630
Mississippi,2510729
Missouri,4968921
Montana,821709
Nebraska,1497138
Nevada,2030410
New Hampshire,1118359
New Jersey,7841470
New Mexico,1735950
New York,16976205
North Carolina,7982017
North Dakota,556222
Ohio,9745227
Oklahoma,3065497
Oregon,3110896
Pennsylvania,11053022
Rhode Island,900283
South Carolina,3870879
South Dakota,680993
Tennessee,5299496
Texas,20500156
Utah,2240636
Vermont,534975
Virginia,6752310
Washington,5464985
West Virginia,1625125
Wisconsin,4824045
Wyoming,444614
Puerto Rico,3392179
