State,Migration
Alabama,4067683
Alaska,583799
Arizona,5321158
Arkansas,2475807
California,32197933
Colorado,4186643
Connecticut,3127421
Delaware,791278
District of Columbia ,509958
Florida,16199361
Georgia,8256209
Hawaii,1177733
Idaho,1317235
Illinois,11036387
Indiana,5499346
Iowa,2585189
Kansas,2386028
Kentucky,3665604
Louisiana,3941211
Maine,1128262
Maryland,5078020
Massachusetts,5724592
Michigan,8296283
Minnesota,4585137
Mississippi,2531410
Missouri,5015609
Montana,827494
Nebraska,1546788
Nevada,2166730
New Hampshire,1128583
New Jersey,7941559
New Mexico,1764969
New York,17297785
North Carolina,8233641
North Dakota,593677
Ohio,9748676
Oklahoma,3131192
Oregon,3154813
Pennsylvania,11113742
Rhode Island,905093
South Carolina,4000306
South Dakota,691659
Tennessee,5429144
Texas,21658382
Utah,2361079
Vermont,542002
Virginia,6874626
Washington,5700703
West Virginia,1621269
Wisconsin,4872672
Wyoming,469511
Puerto Rico,3329074
