"","src.county","Bergen County","Bronx County","Carbon County","Dutchess County","Essex County","Fairfield County","Hudson County","Hunterdon County","Kings County","Lehigh County","Litchfield County","Mercer County","Middlesex County","Monmouth County","Monroe County","Morris County","Nassau County","New Haven County","New York County","Northampton County","Ocean County","Orange County","Passaic County","Pike County","Putnam County","Queens County","Richmond County","Rockland County","Somerset County","Suffolk County","Ulster County","Union County","Warren County","Westchester County"
"1","Bergen County",NA,371,NA,93,1444,460,1825,96,459,72,107,339,1360,1029,301,1442,104,222,2339,169,1347,389,2989,58,75,382,50,807,299,158,20,399,238,347
"2","Bronx County",789,NA,NA,752,600,846,1499,57,3234,433,NA,173,480,184,891,229,464,513,7842,175,115,2322,547,81,381,5105,661,785,35,985,302,186,13,5653
"3","Carbon County",NA,NA,NA,NA,NA,NA,NA,NA,NA,670,NA,NA,29,51,96,NA,NA,NA,67,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA
"4","Dutchess County",NA,327,NA,NA,42,269,61,NA,268,NA,126,NA,13,27,35,15,51,111,547,13,12,785,41,NA,485,429,19,49,NA,167,1843,10,NA,879
"5","Essex County",1722,486,NA,69,NA,450,2466,279,366,108,NA,1043,1681,825,295,2598,26,85,962,390,861,118,1636,72,36,606,39,30,721,85,9,4394,428,269
"6","Fairfield County",416,624,NA,182,159,NA,115,NA,132,69,2037,207,98,69,10,85,344,6597,1361,35,43,74,41,NA,94,475,21,212,46,144,60,87,NA,836
"7","Hudson County",4573,597,NA,159,2642,140,NA,311,879,286,NA,433,1840,1578,185,617,87,39,2817,237,914,90,747,76,NA,788,220,34,711,207,28,1152,188,64
"8","Hunterdon County",146,NA,NA,52,127,NA,90,NA,28,16,NA,503,315,184,61,180,8,17,54,484,160,NA,134,19,NA,NA,NA,12,648,NA,NA,143,604,99
"9","Kings County",645,9254,112,470,2055,1206,2115,26,NA,493,34,389,1086,952,619,282,3221,770,11300,350,1289,877,319,125,343,18041,5665,728,66,2310,618,736,NA,1536
"10","Lehigh County",9,48,267,29,14,28,NA,17,124,NA,NA,39,279,34,166,12,14,17,164,5282,30,15,12,8,NA,50,17,NA,12,73,NA,17,11,10
"11","Litchfield County",NA,15,NA,76,10,668,51,NA,25,NA,NA,19,NA,NA,NA,NA,40,1342,194,19,NA,NA,24,NA,37,31,NA,141,23,20,64,NA,3,NA
"12","Mercer County",158,44,NA,18,395,201,197,619,157,46,NA,NA,2001,811,9,128,NA,131,479,NA,397,NA,171,5,NA,15,27,NA,364,25,NA,108,64,22
"13","Middlesex County",779,259,NA,131,971,124,1239,1006,208,304,NA,3387,NA,3468,61,751,64,130,547,557,1257,8,438,22,NA,605,363,16,3572,91,NA,2167,171,178
"14","Monmouth County",278,93,NA,49,551,113,289,198,422,59,NA,739,2500,NA,85,692,29,62,648,157,5167,219,589,35,NA,93,133,207,125,88,NA,403,55,27
"15","Monroe County",75,50,248,NA,NA,NA,47,NA,32,316,NA,74,99,109,NA,54,NA,NA,66,1038,162,11,171,293,NA,47,32,NA,105,42,15,6,7,11
"16","Morris County",940,NA,NA,30,1518,79,860,320,145,60,NA,262,717,379,332,NA,9,59,497,410,558,159,1193,80,49,211,130,64,968,128,NA,850,1139,89
"17","Nassau County",315,485,NA,238,91,397,315,11,1123,89,NA,14,218,110,42,211,NA,159,3879,184,93,172,91,54,191,6073,128,151,47,10483,188,28,NA,380
"18","New Haven County",34,400,NA,102,132,4096,55,NA,470,12,1087,67,79,18,154,128,337,NA,1068,NA,32,67,14,NA,65,134,NA,42,28,168,NA,NA,NA,172
"19","New York County",2682,16686,NA,700,1694,2231,4594,155,15020,355,199,496,519,586,534,502,1620,665,NA,155,181,186,118,60,246,8782,516,680,312,1595,374,770,10,4464
"20","Northampton County",11,88,373,42,27,37,16,109,99,4494,NA,15,153,15,720,31,NA,33,47,NA,NA,8,9,76,NA,NA,NA,111,100,32,NA,6,539,12
"21","Ocean County",417,43,8,24,284,NA,141,72,145,228,NA,395,1323,3131,12,329,71,23,120,79,NA,13,1275,NA,NA,21,11,12,244,5,8,144,90,18
"22","Orange County",264,247,NA,779,NA,66,24,NA,177,NA,103,40,NA,9,37,54,121,NA,462,19,52,NA,112,500,72,506,73,566,30,76,1684,NA,NA,348
"23","Passaic County",3632,198,NA,13,1691,93,520,143,188,134,NA,195,752,230,78,2135,12,62,466,12,661,355,NA,12,NA,364,14,19,261,9,11,491,238,196
"24","Pike County",NA,NA,NA,9,NA,NA,NA,10,130,NA,4,NA,18,28,261,44,NA,NA,NA,85,32,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA
"25","Putnam County",NA,87,NA,847,3,495,NA,NA,29,14,76,NA,NA,26,17,NA,NA,36,51,NA,25,97,7,25,NA,31,NA,20,NA,196,123,NA,NA,1156
"26","Queens County",1595,6312,45,820,959,1420,1317,16,9633,316,22,343,1216,183,517,310,12537,416,7742,333,354,604,145,109,307,NA,1371,256,326,5743,245,398,126,1683
"27","Richmond County",161,678,64,83,265,109,278,100,1832,38,NA,234,463,1571,190,77,177,37,842,79,462,218,92,22,67,734,NA,54,137,534,134,115,70,88
"28","Rockland County",886,323,NA,335,64,130,133,37,282,NA,55,NA,33,7,NA,22,67,94,714,53,111,1169,87,6,182,272,12,NA,13,75,239,6,7,732
"29","Somerset County",303,54,NA,16,391,12,475,1219,47,287,NA,1156,2243,394,17,634,77,108,376,466,427,16,135,145,NA,9,11,9,NA,63,NA,891,559,33
"30","Suffolk County",93,319,44,513,NA,446,215,24,794,298,39,44,170,48,105,122,4138,269,2095,172,26,226,25,56,88,2459,226,61,35,NA,331,38,19,429
"31","Ulster County",50,128,NA,788,68,38,150,NA,301,17,NA,NA,NA,20,NA,NA,49,41,329,NA,NA,679,NA,NA,62,200,NA,37,2,45,NA,NA,NA,57
"32","Union County",608,31,NA,16,2866,105,805,404,71,403,NA,558,3701,992,63,940,91,28,843,351,678,38,417,11,NA,103,35,29,2417,18,110,NA,197,16
"33","Warren County",86,17,22,20,33,NA,13,355,NA,54,NA,29,101,21,111,410,NA,19,80,951,117,NA,164,36,NA,NA,NA,NA,9,22,NA,17,NA,NA
"34","Westchester County",198,2790,NA,1528,215,3694,199,13,893,31,106,72,225,100,9,251,455,383,3070,152,308,1199,116,111,1286,670,83,928,29,437,540,NA,NA,NA
