id,trial,n,method,mean,sd,system.time
1,1,100,ar,0.810147415,0.542814715,0
2,2,100,ar,0.766500531,0.54721474,0.01
3,3,100,ar,0.739502764,0.536430314,0
4,4,100,ar,0.792103842,0.654825946,0
5,5,100,ar,0.766481126,0.573682151,0.02
6,6,100,ar,0.786709894,0.618411568,0
7,7,100,ar,0.852887483,0.582578557,0
8,8,100,ar,0.78647907,0.546065647,0
9,9,100,ar,0.83401035,0.631296284,0
10,10,100,ar,0.826244533,0.612912303,0.02
11,1,1000,ar,0.809988683,0.616475433,0.02
12,2,1000,ar,0.817564452,0.583416097,0.01
13,3,1000,ar,0.816033441,0.621915826,0.02
14,4,1000,ar,0.814746899,0.609792881,0.01
15,5,1000,ar,0.822335004,0.59715616,0.03
16,6,1000,ar,0.792223705,0.616573443,0.01
17,7,1000,ar,0.769724875,0.571475623,0.02
18,8,1000,ar,0.784756089,0.595240698,0.01
19,9,1000,ar,0.812341422,0.611613585,0.02
20,10,1000,ar,0.78604442,0.594139416,0.01
21,1,10000,ar,0.810172161,0.61243018,0.39
22,2,10000,ar,0.794864626,0.600820952,0.42
23,3,10000,ar,0.79850281,0.607324611,0.37
24,4,10000,ar,0.80258145,0.606022744,0.43
25,5,10000,ar,0.794679772,0.602757957,0.42
26,6,10000,ar,0.794512694,0.600024548,0.4
27,7,10000,ar,0.798708709,0.605343145,0.42
28,8,10000,ar,0.798254127,0.605097528,0.41
29,9,10000,ar,0.794768021,0.603228402,0.47
30,10,10000,ar,0.80766751,0.610351957,0.41
31,1,1.00E+05,ar,0.797349237,0.60340045,32.55
32,2,1.00E+05,ar,0.79957748,0.60193999,32.5
33,3,1.00E+05,ar,0.798632222,0.601817892,32.72
34,4,1.00E+05,ar,0.79774602,0.601263889,37.66
35,5,1.00E+05,ar,0.797258502,0.60200237,44.82
36,6,1.00E+05,ar,0.795597934,0.601614414,47.09
37,7,1.00E+05,ar,0.797832333,0.606244991,49.66
38,8,1.00E+05,ar,0.798967551,0.603685822,36.27
39,9,1.00E+05,ar,0.796591083,0.602588114,40.33
40,10,1.00E+05,ar,0.798041398,0.602740337,53.93
41,1,100,bm,0.797658037,0.568949335,0
42,2,100,bm,0.80151981,0.540555276,0
43,3,100,bm,0.849203284,0.615819961,0
44,4,100,bm,0.814557489,0.613087241,0
45,5,100,bm,0.866647273,0.636876055,0
46,6,100,bm,0.793304442,0.624860582,0
47,7,100,bm,0.763195232,0.594435029,0
48,8,100,bm,0.796611276,0.655104276,0
49,9,100,bm,0.686454842,0.544431711,0
50,10,100,bm,0.774833637,0.533838327,0
51,1,1000,bm,0.802277785,0.613432492,0.02
52,2,1000,bm,0.801272874,0.586757783,0.02
53,3,1000,bm,0.789997055,0.617482192,0.02
54,4,1000,bm,0.803276463,0.585716071,0.02
55,5,1000,bm,0.780895393,0.585518264,0.02
56,6,1000,bm,0.817003381,0.606937959,0.01
57,7,1000,bm,0.774678997,0.59918718,0.01
58,8,1000,bm,0.813007586,0.617120312,0.02
59,9,1000,bm,0.814363197,0.596288244,0.02
60,10,1000,bm,0.775683988,0.584647074,0.02
61,1,10000,bm,0.801483374,0.608505829,0.39
62,2,10000,bm,0.796212495,0.603384266,0.39
63,3,10000,bm,0.803386744,0.601079555,0.41
64,4,10000,bm,0.797082116,0.606236789,0.41
65,5,10000,bm,0.798734384,0.604757843,0.41
66,6,10000,bm,0.793225987,0.603038179,0.39
67,7,10000,bm,0.802578257,0.602810319,0.39
68,8,10000,bm,0.790204066,0.596181812,0.48
69,9,10000,bm,0.793468508,0.594838749,0.39
70,10,10000,bm,0.797689799,0.60008387,0.41
71,1,1.00E+05,bm,0.796848783,0.604702315,39.83
72,2,1.00E+05,bm,0.796523517,0.604182891,40.26
73,3,1.00E+05,bm,0.797791647,0.602260047,35.24
74,4,1.00E+05,bm,0.796520671,0.602769199,35.81
75,5,1.00E+05,bm,0.799249435,0.602166764,35.07
76,6,1.00E+05,bm,0.796662841,0.602391549,35.4
77,7,1.00E+05,bm,0.7993625,0.603824798,36.44
78,8,1.00E+05,bm,0.796952297,0.605031793,56.7
79,9,1.00E+05,bm,0.799817687,0.601929006,58.95
80,10,1.00E+05,bm,0.79962897,0.604409438,63.56
81,1,100,it,0.871182412,0.648672974,0
82,2,100,it,0.821844131,0.563984205,0
83,3,100,it,0.820186873,0.571967176,0
84,4,100,it,0.77726761,0.564652847,0
85,5,100,it,0.780087883,0.587765898,0
86,6,100,it,0.784117675,0.543187507,0
87,7,100,it,0.733086541,0.564720174,0.02
88,8,100,it,0.786468893,0.60818608,0
89,9,100,it,0.707558317,0.482073694,0.02
90,10,100,it,0.837328358,0.631357379,0
91,1,1000,it,0.793837875,0.607043509,0.02
92,2,1000,it,0.774479125,0.595985934,0.02
93,3,1000,it,0.775358973,0.578779336,0.03
94,4,1000,it,0.782420174,0.591824239,0.01
95,5,1000,it,0.830076963,0.63911582,0.02
96,6,1000,it,0.795005638,0.611038819,0.01
97,7,1000,it,0.800700699,0.601889094,0.01
98,8,1000,it,0.804426097,0.601741931,0.03
99,9,1000,it,0.815109176,0.605782881,0.03
100,10,1000,it,0.795767587,0.590358789,0.03
101,1,10000,it,0.805475598,0.604510177,0.61
102,2,10000,it,0.806258768,0.614862477,0.56
103,3,10000,it,0.804385684,0.609278656,0.67
104,4,10000,it,0.796389184,0.599272229,0.69
105,5,10000,it,0.799468178,0.605001161,0.56
106,6,10000,it,0.805606344,0.606195548,0.61
107,7,10000,it,0.790789727,0.601431334,0.61
108,8,10000,it,0.794098217,0.599499119,0.59
109,9,10000,it,0.800801045,0.605603261,0.63
110,10,10000,it,0.794035992,0.592925031,0.57
111,1,1.00E+05,it,0.801852337,0.605703488,118.2
112,2,1.00E+05,it,0.801205371,0.602959379,117.1
113,3,1.00E+05,it,0.796965885,0.601896768,106.31
114,4,1.00E+05,it,0.796817426,0.602877676,99.09
115,5,1.00E+05,it,0.799309265,0.60310316,37.42
116,6,1.00E+05,it,0.796992288,0.60000794,40.03
117,7,1.00E+05,it,0.801711056,0.606176555,58.8
118,8,1.00E+05,it,0.797792818,0.602216449,57.66
119,9,1.00E+05,it,0.798634157,0.601128692,43.44
120,10,1.00E+05,it,0.799918244,0.604809016,41.3
