Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
ModelEntity,Type,[Population],Content,NumberInSystem,Average,5.13495102829692
ModelEntity,Type,[Population],Content,NumberInSystem,Maximum,15
ModelEntity,Type,[Population],Content,NumberInSystem,Minimum,0
ModelEntity,Type,[Population],FlowTime,TimeInSystem,Average,0.0213028776562967
ModelEntity,Type,[Population],FlowTime,TimeInSystem,Maximum,0.0437020946584425
ModelEntity,Type,[Population],FlowTime,TimeInSystem,Minimum,0.0136290644079455
ModelEntity,Type,[Population],Throughput,NumberCreated,Total,1931
ModelEntity,Type,[Population],Throughput,NumberDestroyed,Total,1926
Path,Path12,[Travelers],Content,NumberOnLink,Average,0.137847222222238
Path,Path12,[Travelers],Content,NumberOnLink,Maximum,4
Path,Path12,[Travelers],Content,NumberOnLink,Minimum,0
Path,Path12,[Travelers],FlowTime,TimeOnLink,Average,0.00138888888888905
Path,Path12,[Travelers],FlowTime,TimeOnLink,Maximum,0.00138888888888911
Path,Path12,[Travelers],FlowTime,TimeOnLink,Minimum,0.00138888888888888
Path,Path12,[Travelers],Throughput,NumberEntered,Total,794
Path,Path12,[Travelers],Throughput,NumberExited,Total,794
Path,Path13,[Travelers],Content,NumberOnLink,Average,0.196875000000015
Path,Path13,[Travelers],Content,NumberOnLink,Maximum,3
Path,Path13,[Travelers],Content,NumberOnLink,Minimum,0
Path,Path13,[Travelers],FlowTime,TimeOnLink,Average,0.00277777777777799
Path,Path13,[Travelers],FlowTime,TimeOnLink,Maximum,0.00277777777777821
Path,Path13,[Travelers],FlowTime,TimeOnLink,Minimum,0.00277777777777777
Path,Path13,[Travelers],Throughput,NumberEntered,Total,567
Path,Path13,[Travelers],Throughput,NumberExited,Total,567
Path,Path14,[Travelers],Content,NumberOnLink,Average,0.786631944444442
Path,Path14,[Travelers],Content,NumberOnLink,Maximum,4
Path,Path14,[Travelers],Content,NumberOnLink,Minimum,0
Path,Path14,[Travelers],FlowTime,TimeOnLink,Average,0.0319444444444443
Path,Path14,[Travelers],FlowTime,TimeOnLink,Maximum,0.0319444444444446
Path,Path14,[Travelers],FlowTime,TimeOnLink,Minimum,0.0319444444444441
Path,Path14,[Travelers],Throughput,NumberEntered,Total,197
Path,Path14,[Travelers],Throughput,NumberExited,Total,197
Path,Path23,[Travelers],Content,NumberOnLink,Average,0.137673611111127
Path,Path23,[Travelers],Content,NumberOnLink,Maximum,4
Path,Path23,[Travelers],Content,NumberOnLink,Minimum,0
Path,Path23,[Travelers],FlowTime,TimeOnLink,Average,0.00138888888888905
Path,Path23,[Travelers],FlowTime,TimeOnLink,Maximum,0.00138888888888911
Path,Path23,[Travelers],FlowTime,TimeOnLink,Minimum,0.00138888888888888
Path,Path23,[Travelers],Throughput,NumberEntered,Total,793
Path,Path23,[Travelers],Throughput,NumberExited,Total,793
Path,Path24,[Travelers],Content,NumberOnLink,Average,0.129166666666677
Path,Path24,[Travelers],Content,NumberOnLink,Maximum,3
Path,Path24,[Travelers],Content,NumberOnLink,Minimum,0
Path,Path24,[Travelers],FlowTime,TimeOnLink,Average,0.002777777777778
Path,Path24,[Travelers],FlowTime,TimeOnLink,Maximum,0.00277777777777821
Path,Path24,[Travelers],FlowTime,TimeOnLink,Minimum,0.00277777777777777
Path,Path24,[Travelers],Throughput,NumberEntered,Total,372
Path,Path24,[Travelers],Throughput,NumberExited,Total,372
Path,Path34,[Travelers],Content,NumberOnLink,Average,0.235858836301051
Path,Path34,[Travelers],Content,NumberOnLink,Maximum,4
Path,Path34,[Travelers],Content,NumberOnLink,Minimum,0
Path,Path34,[Travelers],FlowTime,TimeOnLink,Average,0.00138888888888905
Path,Path34,[Travelers],FlowTime,TimeOnLink,Maximum,0.00138888888888911
Path,Path34,[Travelers],FlowTime,TimeOnLink,Minimum,0.00138888888888888
Path,Path34,[Travelers],Throughput,NumberEntered,Total,1359
