"","projectcode","pagename","pageviews","bytes"
"1","en","Data",203,8573050
"2","en","Data%20Structures%20and%20Algorithms",2,40
"3","en","Data%20retention",1,20
"4","en","Data,_Context,_and_Interaction",1,20740
"5","en","Data,_context_and_interaction",1,0
"6","en","Data-Link_Switching",2,39328
"7","en","Data-analysis",1,0
"8","en","Data-driven_journalism",4,137943
"9","en","Data-driven_programming",12,201941
"10","en","Data-driven_programming.",1,7456
"11","en","Data-driven_programmingn",1,13570
"12","en","Data-driven_testing",9,87168
"13","en","Data-driven_testingm",1,9685
"14","en","Data-flow_analysis",4,54201
"15","en","Data-intensive_computing",3,100512
"16","en","Data-link-layer",2,77022
"17","en","Data-stream_management_system",1,14500
"18","en","Data-structured_language",2,39977
"19","en","Data.gov",1,13218
"20","en","Data.gov%23Open_Government_Directive",1,20
"21","en","Data.gov.uk",2,32780
"22","en","Data.minimax",1,7414
"23","en","Data8",4,84746
"24","en","Data:_URI_scheme",1,23515
"25","en","Data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAAQCAIAAABY/YLgAAAAJUlEQVQIHQXBsQEAAAjDoND/73UWdnerhmHVsDQZJrNWVg3Dqge6bgMe6bejNAAAAABJRU5ErkJggg%3D%3D",17,131994
"26","en","Data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAAuCAIAAABmjeQ9AAAARElEQVR42mVO2wrAUAhy/f8fz%2BniVMTYQ3hLKkgGgN/IPvgIhUYYV/qogdP75J01V%2BJwrKZr/5YPcnzN3e6t7l%2B2K%2BEFX91B1daOi7sAAAAASUVORK5CYII%3D",220,1729420
"27","en","Data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAABkAQAAAABvV2fNAAAADUlEQVQIHWNoYBgWEACJ5TIB0K9KcAAAAABJRU5ErkJggg%3D%3D",37,284703
"28","en","Data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAABkCAIAAADITs03AAAAPElEQVR4XuWK2xEAIAzCsPvv5DSu0ahX3yv4wQVyGGCSvg2dnJvduT8sz/IwKOIfjCi2z/76FhHeJcslVZQFLUC06LZ/AAAAAElFTkSuQmCC",54,419649
"29","en","Data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAoAAAAKBAMAAAB/HNKOAAAAD1BMVEUZAAD///95eXmqqqrY2NjEIQ0cAAAAAXRSTlMAQObYZgAAACdJREFUCNdjYGBgYGIAASUFENNJCUiqmADZTM5OqExFFZAKRSG4YgBjcwODynSgDwAAAABJRU5ErkJggg%3D%3D",13,102043
"30","en","Data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIwAAAABCAAAAAAphRnkAAAAJ0lEQVQIW7XFsQEAIAyAMPD/b7uLWz8wS5youFW1UREfiIpH1Q2VBz7fGPS1dOGeAAAAAElFTkSuQmCC",60,462863
"31","en","DataCash",2,22489
"32","en","DataCite",1,11480
"33","en","DataCore_Software",1,13178
"34","en","DataEase",3,38018
"35","en","DataFlash",1,11076
"36","en","DataFlex",3,81308
"37","en","DataHand",2,19858
"38","en","DataLounge",1,12984
"39","en","DataMarket",1,11083
"40","en","DataMirror",1,11975
"41","en","DataNucleus",1,39824
"42","en","DataONE",1,9635
"43","en","DataObjects.NET",1,11534
"44","en","DataPower",1,10571
"45","en","DataRank",1,13287
"46","en","DataSnap",3,29793
"47","en","DataStage",2,24774
"48","en","DataStax",5,48578
"49","en","DataTAC",3,34839
"50","en","DataViva",1,10906
"51","en","DataViz",3,27546
"52","en","DataWind",15,667403
"53","en","DataXu",4,97054
"54","en","Data_(Euclid)",1,8633
"55","en","Data_(Star_Trek)",17,682334
"56","en","Data_(computing)",10,324339
"57","en","Data_(disambiguation)",3,49724
"58","en","Data_(word)",1,12535
"59","en","Data_Access_Language",1,10228
"60","en","Data_Access_Manager",1,10404
"61","en","Data_Access_Object",2,28750
"62","en","Data_Access_Objects",1,9691
"63","en","Data_Age",1,10760
"64","en","Data_Analysis_eXpressions",1,10063
"65","en","Data_Applied",6,113271
"66","en","Data_Architecture",1,15070
"67","en","Data_As_Code",1,7432
"68","en","Data_Becker",1,10481
"69","en","Data_Cap_Integrity_Act",1,9465
"70","en","Data_Capture",1,15546
"71","en","Data_Carrier_Detect",5,63884
"72","en","Data_Catalog_Vocabulary",1,28276
"73","en","Data_Clustering",1,204044
"74","en","Data_Control_Block",1,9557
"75","en","Data_Deficient",3,45207
"76","en","Data_Definition_Language",2,16043
"77","en","Data_Dictionary",1,15268
"78","en","Data_Display_Debugger",1,13692
"79","en","Data_Distribution_Service",15,279885
"80","en","Data_Durbar_Complex",8,87924
"81","en","Data_Durbar_Complexm",1,14654
"82","en","Data_Dynamics",3,43071
"83","en","Data_East",6,102936
"84","en","Data_East_Arcade_Classics",1,9405
"85","en","Data_Encryption_Standard",41,1941289
"86","en","Data_Execution_Prevention",11,275157
"87","en","Data_Facility_Storage_Management_Subsystem",1,14842
"88","en","Data_Flow_Diagram",1,55430
"89","en","Data_Format_Description_Language",5,59315
"90","en","Data_Ganj_Bakhsh",1,29587
"91","en","Data_Garden",1,40198
"92","en","Data_General",6,337959
"93","en","Data_General-One",1,35644
"94","en","Data_General_Nova",5,341475
"95","en","Data_Infrastructure",1,31244
"96","en","Data_Integrity_Field",1,10764
"97","en","Data_Interchange_Format",1,0
"98","en","Data_LifeSaver",2,17296
"99","en","Data_Link_Control",4,34931
"100","en","Data_Link_Layer",10,392814
"101","en","Data_Management",1,13666
"102","en","Data_Management_Platform",2,34432
"103","en","Data_Manipulation_Language",1,0
"104","en","Data_Matrix",35,770011
"105","en","Data_Mining",1,57052
"106","en","Data_Mining_Extensions",6,124324
"107","en","Data_Modeling",4,93550
"108","en","Data_Moving_Tool",2,45779
"109","en","Data_Mule",2,8673
"110","en","Data_Network_Cabling",5,134014
"111","en","Data_Network_Wiring",1,26763
"112","en","Data_Privacy_Day",7,131632
"113","en","Data_Protection_(Jersey)_Law",2,63462
"114","en","Data_Protection_API",9,117258
"115","en","Data_Protection_Act",2,38044
"116","en","Data_Protection_Act_1984",2,38078
"117","en","Data_Protection_Act_1998",174,3733159
"118","en","Data_Protection_Commissioner",3,28756
"119","en","Data_Protection_Directive",39,889047
"120","en","Data_Quality_Act",1,14468
"121","en","Data_Quality_Firewall",1,28490
"122","en","Data_Records",1,11247
"123","en","Data_Recovery_Wizard",1,9309
"124","en","Data_Reference_Model",1,9249
"125","en","Data_Resources_Inc.",1,10442
"126","en","Data_Retention_Directive",7,121067
"127","en","Data_Retention_and_Investigatory_Powers_Act_2014",2,24350
"128","en","Data_Romance",1,12272
"129","en","Data_Safety_Monitoring_Board",1,13977
"130","en","Data_Shredder",6,92183
"131","en","Data_Smog",1,10264
"132","en","Data_Source_Name",2,57484
"133","en","Data_Storage_Technology",1,9873
"134","en","Data_Structures_and_Algorithms",2,14970
"135","en","Data_Systems_Technician",1,8150
"136","en","Data_Tatashkia",1,12964
"137","en","Data_Terminal_Ready",6,58984
"138","en","Data_Transfer_Object",5,53000
"139","en","Data_Transfer_Object/",1,7463
"140","en","Data_Transformation_Services",9,177814
"141","en","Data_Transmission_Network",1,10124
"142","en","Data_Transport_Utility",2,16982
"143","en","Data_URI",2,47024
"144","en","Data_URI_scheme",39,893053
"145","en","Data_Universal_Numbering_System",44,600086
"146","en","Data_Vault_Modeling",10,192085
"147","en","Data_Virtualization",1,10879
"148","en","Data_Warehouse",1,107526
"149","en","Data_Web",3,94639
"150","en","Data_access",3,51047
"151","en","Data_access_layer",17,170553
"152","en","Data_access_object",25,384538
"153","en","Data_acquisition",23,370215
"154","en","Data_adfoc",1,7422
"155","en","Data_administration",2,20504
"156","en","Data_aggregator",4,93762
"157","en","Data_akhiya",1,7425
"158","en","Data_analysis",103,2620928
"159","en","Data_analysis_(information_technology)",1,16895
"160","en","Data_analysis_expressions",3,29960
"161","en","Data_analysis_techniques_for_fraud_detection",7,111769
"162","en","Data_analyst",2,43524
"163","en","Data_and_Knowledge_Engineering",1,31288
"164","en","Data_and_commerce_limited",1,8061
"165","en","Data_anonymization",3,30666
"166","en","Data_archaeology",1,0
"167","en","Data_architect",13,140446
"168","en","Data_architecture",9,158537
"169","en","Data_as_a_service",8,94864
"170","en","Data_asset",1,7424
"171","en","Data_assimilation",6,97746
"172","en","Data_at_Rest",7,95184
"173","en","Data_auditing",2,16855
"174","en","Data_backup",1,93796
"175","en","Data_bank",3,26913
"176","en","Data_base_management_system",2,410214
"177","en","Data_binding",5,42513
"178","en","Data_binning",9,60935
"179","en","Data_breach",12,243532
"180","en","Data_brokers",1,7435
"181","en","Data_buffer",11,151727
"182","en","Data_bus",2,15604
"183","en","Data_cable",2,17486
"184","en","Data_cente",1,26412
"185","en","Data_center",113,6116986
"186","en","Data_center_bridging",6,166768
"187","en","Data_center_environmental_control",1,10579
"188","en","Data_center_infrastructure_efficiency",2,17395
"189","en","Data_center_infrastructure_management",11,217830
"190","en","Data_center_network_architectures",2,24778
"191","en","Data_center_services",5,54580
"192","en","Data_centers",1,45917
"193","en","Data_circuit-terminating_equipment",8,108180
"194","en","Data_citation",1,26003
"195","en","Data_classification",5,39703
"196","en","Data_classification_(data_management)",6,60614
"197","en","Data_classificationm",1,7939
"198","en","Data_cleansing",16,297788
"199","en","Data_cluster",10,111260
"200","en","Data_clustering",6,267270
"201","en","Data_clusteringm",1,204044
"202","en","Data_codes_for_Switzerland",3,40111
"203","en","Data_collection",38,620023
"204","en","Data_collection_plan",1,16562
"205","en","Data_collector",2,30601
"206","en","Data_compaction",4,57497
"207","en","Data_comparison",3,36171
"208","en","Data_compression",85,3898205
"209","en","Data_compression_ratio",6,66997
"210","en","Data_conferencing",3,19947
"211","en","Data_consistency",6,132784
"212","en","Data_control_language",5,57498
"213","en","Data_conversion",10,138990
"214","en","Data_corruption",18,349976
"215","en","Data_corruptionm",1,17321
"216","en","Data_cube",10,148336
"217","en","Data_curation",3,30753
"218","en","Data_custodian",2,20770
"219","en","Data_deduplication",36,781792
"220","en","Data_deficient",2,28500
"221","en","Data_definition_language",37,640737
"222","en","Data_degradation",3,38426
"223","en","Data_density",1,15659
"224","en","Data_dependency",6,55570
"225","en","Data_descriptor",5,85118
"226","en","Data_destruction",1,26166
"227","en","Data_dictionary",38,531930
"228","en","Data_differencing",1,10202
"229","en","Data_discovery",2,22458
"230","en","Data_discrimination",1,26187
"231","en","Data_distribution_service",1,15801
"232","en","Data_domain",14,249863
"233","en","Data_dredging",3,44442
"234","en","Data_drilling",1,10105
"235","en","Data_driven",5,77752
"236","en","Data_driven_journalism",3,61013
"237","en","Data_driven_science",1,0
"238","en","Data_drone",1,7421
"239","en","Data_dummy",1,7417
"240","en","Data_element",7,70779
"241","en","Data_element_definition",4,39884
"242","en","Data_element_definitionm",1,9971
"243","en","Data_encapsulation",1,7936
"244","en","Data_encryption",2,268458
"245","en","Data_entry",6,30940
"246","en","Data_entry_clerk",19,214060
"247","en","Data_envelopment_analysis",8,132584
"248","en","Data_erasure",14,286317
"249","en","Data_errors",1,7422
"250","en","Data_exchange",3,40570
"251","en","Data_exchange_language",1,14243
