City,Country,Population
Athens,Greece,664046
Barcelona,Spain,1620943
Brussels,Belgium,1138854
Calais,France,74817
Cherbourg,France,42318
Cologne,Germany,1034175
Copenhagen,Denmark,569557
Geneva,Switzerland,196257
Gibraltar,United Kingdom,30001
Hamburg,Germany,1751775
Hook of Holland,Netherlands,9382
Lisbon,Portugal,552700
Lyons,France,491268
Madrid,Spain,3236344
Marseilles,France,850636
Milan,Italy,1353883
Munich,Germany,1407836
Paris,France,2249975
Rome,Italy,2863322
Stockholm,Sweden,905184
Vienna,Austria,1793667
