exportCountry,importCountry,Product,Trade
Canada,United States,Animal Products,7458959.29
Mexico,United States,Animal Products,1742016.49
Argentina,United States,Animal Products,155011.4
Brazil,United States,Animal Products,331230.99
Chile,United States,Animal Products,1495736.26
Colombia,United States,Animal Products,106013.71
Ecuador,United States,Animal Products,925514.72
Canada,United States,Beverages and Oils,2562751.68
Mexico,United States,Beverages and Oils,3169437.37
Argentina,United States,Beverages and Oils,454336.39
Brazil,United States,Beverages and Oils,76523.62
Chile,United States,Beverages and Oils,349677.71
Colombia,United States,Beverages and Oils,18401.85
Ecuador,United States,Beverages and Oils,2940.99
Canada,United States,Chemicals and Related Products,33938274.95
Mexico,United States,Chemicals and Related Products,9825719.45
Argentina,United States,Chemicals and Related Products,824324.63
Brazil,United States,Chemicals and Related Products,3377321.37
Chile,United States,Chemicals and Related Products,839535.98
Colombia,United States,Chemicals and Related Products,280451.4
Ecuador,United States,Chemicals and Related Products,18631.28
Canada,United States,"Computers, Office, Communications, and Professional Equipment",5976070.93
Mexico,United States,"Computers, Office, Communications, and Professional Equipment",53373569
Argentina,United States,"Computers, Office, Communications, and Professional Equipment",13614.71
Brazil,United States,"Computers, Office, Communications, and Professional Equipment",162903.86
Chile,United States,"Computers, Office, Communications, and Professional Equipment",9309.97
Colombia,United States,"Computers, Office, Communications, and Professional Equipment",11165.63
Ecuador,United States,"Computers, Office, Communications, and Professional Equipment",3081.39
Canada,United States,Energy and Mining,108567812.5
Mexico,United States,Energy and Mining,35202386.79
Argentina,United States,Energy and Mining,673841.46
Brazil,United States,Energy and Mining,6227312.6
Chile,United States,Energy and Mining,179111.09
Colombia,United States,Energy and Mining,15392554.5
Ecuador,United States,Energy and Mining,8846728.37
Canada,United States,Glass and Non-Metallic Products,1628832.26
Mexico,United States,Glass and Non-Metallic Products,2484570.76
Argentina,United States,Glass and Non-Metallic Products,11570.74
Brazil,United States,Glass and Non-Metallic Products,951708.44
Chile,United States,Glass and Non-Metallic Products,2496.38
Colombia,United States,Glass and Non-Metallic Products,87737.28
Ecuador,United States,Glass and Non-Metallic Products,6627.62
Canada,United States,Machinery and Electrical Equipment,20739075.54
Mexico,United States,Machinery and Electrical Equipment,50336482.21
Argentina,United States,Machinery and Electrical Equipment,82382.19
Brazil,United States,Machinery and Electrical Equipment,1862016.05
Chile,United States,Machinery and Electrical Equipment,61684.22
Colombia,United States,Machinery and Electrical Equipment,65093.49
Ecuador,United States,Machinery and Electrical Equipment,17434.16
Canada,United States,Metals and Metal Products,28267315.7
Mexico,United States,Metals and Metal Products,16482748.54
Argentina,United States,Metals and Metal Products,708346.03
Brazil,United States,Metals and Metal Products,3824138.29
Chile,United States,Metals and Metal Products,3896860.95
Colombia,United States,Metals and Metal Products,2477105.86
Ecuador,United States,Metals and Metal Products,431368.99
Canada,United States,Miscellaneous,18136434.86
Mexico,United States,Miscellaneous,17362861.29
Argentina,United States,Miscellaneous,410521.21
Brazil,United States,Miscellaneous,2553767.13
Chile,United States,Miscellaneous,276004.84
Colombia,United States,Miscellaneous,632944.76
Ecuador,United States,Miscellaneous,177686.38
Canada,United States,"Textiles, Leather, and Apparel",2135826.82
Mexico,United States,"Textiles, Leather, and Apparel",6331219.88
Argentina,United States,"Textiles, Leather, and Apparel",78281.48
Brazil,United States,"Textiles, Leather, and Apparel",445627.32
Chile,United States,"Textiles, Leather, and Apparel",15969.96
Colombia,United States,"Textiles, Leather, and Apparel",318887.37
Ecuador,United States,"Textiles, Leather, and Apparel",10314.58
Canada,United States,Transportation Equipment and Parts,66892789.23
Mexico,United States,Transportation Equipment and Parts,68143397.9
Argentina,United States,Transportation Equipment and Parts,54459.79
Brazil,United States,Transportation Equipment and Parts,2645405.55
Chile,United States,Transportation Equipment and Parts,51073.53
Colombia,United States,Transportation Equipment and Parts,23631.06
Ecuador,United States,Transportation Equipment and Parts,983.58
Canada,United States,Vegetable Products,14689238.76
Mexico,United States,Vegetable Products,13704731.4
Argentina,United States,Vegetable Products,1138127
Brazil,United States,Vegetable Products,2933081.77
Chile,United States,Vegetable Products,2421927.27
Colombia,United States,Vegetable Products,2165845.85
Ecuador,United States,Vegetable Products,984989.09
Canada,United States,"Wood, Paper and Related Products",18281920.76
Mexico,United States,"Wood, Paper and Related Products",1658123.33
Argentina,United States,"Wood, Paper and Related Products",35957.98
Brazil,United States,"Wood, Paper and Related Products",2162400.98
Chile,United States,"Wood, Paper and Related Products",763842.64
Colombia,United States,"Wood, Paper and Related Products",37476.94
Ecuador,United States,"Wood, Paper and Related Products",62655
Mexico,Canada,Animal Products,23503.51
United States,Canada,Animal Products,5164271.38
Argentina,Canada,Animal Products,13929.07
Brazil,Canada,Animal Products,60709.43
Chile,Canada,Animal Products,211705.17
Colombia,Canada,Animal Products,6376.17
Ecuador,Canada,Animal Products,26662.39
Mexico,Canada,Beverages and Oils,147198.34
United States,Canada,Beverages and Oils,1915922.5
Argentina,Canada,Beverages and Oils,105500.96
Brazil,Canada,Beverages and Oils,1969.16
Chile,Canada,Beverages and Oils,97661.29
Colombia,Canada,Beverages and Oils,1631.98
Ecuador,Canada,Beverages and Oils,3212.15
Mexico,Canada,Chemicals and Related Products,747704.79
United States,Canada,Chemicals and Related Products,37863013.3
Argentina,Canada,Chemicals and Related Products,42221.16
Brazil,Canada,Chemicals and Related Products,254156.83
Chile,Canada,Chemicals and Related Products,58077.97
