"","title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short","decade"
"1008","Admiral Cigarette",1897,1,NA,4.4,34,4.5,4.5,4.5,14.5,14.5,14.5,24.5,0,4.5,4.5,"",0,0,0,0,1,0,1,1890
"1009","Admiral Dewey Leading Land Parade",1899,1,NA,4.1,27,14.5,4.5,24.5,4.5,24.5,14.5,4.5,4.5,4.5,0,"",0,0,0,0,1,0,1,1890
"2370","Amy Muller",1896,1,NA,4.3,27,14.5,4.5,24.5,4.5,14.5,14.5,14.5,4.5,0,4.5,"",0,0,0,0,1,0,1,1890
"3007","Arabian Gun Twirler",1899,1,NA,3.9,19,4.5,0,24.5,34.5,34.5,4.5,0,0,0,4.5,"",0,0,0,0,1,0,1,1890
"3392","Astor Tramp, The",1899,2,NA,3.6,13,4.5,14.5,34.5,14.5,14.5,0,0,0,0,4.5,"",0,0,1,0,1,0,1,1890
"3659","Autruches",1896,1,NA,5.4,74,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,4.5,4.5,"",0,0,0,0,1,0,1,1890
"3847","Babies Quarrel",1896,1,NA,6.2,70,4.5,4.5,0,4.5,14.5,24.5,24.5,4.5,14.5,4.5,"",0,0,0,0,1,0,1,1890
"4458","Barque sortant du port",1895,1,NA,6,48,4.5,0,4.5,14.5,24.5,14.5,14.5,14.5,4.5,4.5,"",0,0,0,0,1,0,1,1890
"4544","Bataille de boules de neige",1896,1,NA,7,73,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"",0,0,0,0,1,0,1,1890
"5849","Biter Bit, The",1897,1,NA,4.7,25,4.5,14.5,4.5,4.5,24.5,34.5,14.5,4.5,0,0,"",0,0,1,0,0,0,1,1890
"5913","Black Diamond Express",1896,1,NA,5,19,4.5,0,0,24.5,24.5,24.5,4.5,4.5,14.5,4.5,"",0,0,0,0,1,0,1,1890
"6076","Blacksmith Scene",1893,1,NA,7,90,4.5,0,4.5,4.5,14.5,4.5,14.5,14.5,14.5,24.5,"",0,0,0,0,0,0,1,1890
"7096","Bowery Waltz",1897,1,NA,4.1,15,4.5,4.5,14.5,24.5,4.5,34.5,14.5,0,0,0,"",0,0,0,0,1,0,1,1890
"7725","Bucking Broncho",1894,1,NA,4.6,30,0,0,24.5,24.5,14.5,14.5,24.5,4.5,0,0,"",0,0,0,0,1,0,1,1890
