,Date,Month,Day,Year,URL,AverageTemperature
0,10/16/2011,10,16,2011,http://www.wunderground.com/history/airport/KNYC/2011/10/16/DailyHistory.html,60
1,10/21/2013,10,21,2013,http://www.wunderground.com/history/airport/KNYC/2013/10/21/DailyHistory.html,58
2,9/21/2013,9,21,2013,http://www.wunderground.com/history/airport/KNYC/2013/9/21/DailyHistory.html,69
3,8/19/2013,8,19,2013,http://www.wunderground.com/history/airport/KNYC/2013/8/19/DailyHistory.html,73
4,7/21/2013,7,21,2013,http://www.wunderground.com/history/airport/KNYC/2013/7/21/DailyHistory.html,83
5,6/4/2013,6,4,2013,http://www.wunderground.com/history/airport/KNYC/2013/6/4/DailyHistory.html,66
6,10/15/2012,10,15,2012,http://www.wunderground.com/history/airport/KNYC/2012/10/15/DailyHistory.html,65
7,9/15/2012,9,15,2012,http://www.wunderground.com/history/airport/KNYC/2012/9/15/DailyHistory.html,67
8,8/18/2012,8,18,2012,http://www.wunderground.com/history/airport/KNYC/2012/8/18/DailyHistory.html,71
9,7/21/2012,7,21,2012,http://www.wunderground.com/history/airport/KNYC/2012/7/21/DailyHistory.html,70
10,6/16/2012,6,16,2012,http://www.wunderground.com/history/airport/KNYC/2012/6/16/DailyHistory.html,70
11,5/20/2012,5,20,2012,http://www.wunderground.com/history/airport/KNYC/2012/5/20/DailyHistory.html,68
12,6/24/2013,6,24,2013,http://www.wunderground.com/history/airport/KNYC/2013/6/24/DailyHistory.html,83
13,9/19/2011,9,19,2011,http://www.wunderground.com/history/airport/KNYC/2011/9/19/DailyHistory.html,60
14,8/21/2011,8,21,2011,http://www.wunderground.com/history/airport/KNYC/2011/8/21/DailyHistory.html,77
15,7/14/2011,7,14,2011,http://www.wunderground.com/history/airport/KNYC/2011/7/14/DailyHistory.html,74
16,7/2/2011,7,2,2011,http://www.wunderground.com/history/airport/KNYC/2011/7/2/DailyHistory.html,77
