Date,ValueAdd,Exports
1/1/2008,6.1,10.7
4/1/2008,3.9,15.6
7/1/2008,2.9,12.6
10/1/2008,-0.5,4.8
1/1/2009,-2.8,-1.8
4/1/2009,-2.8,-9.5
7/1/2009,-2.2,-7.7
10/1/2009,1,-0.2
1/1/2010,3.4,7.1
4/1/2010,5,14.7
7/1/2010,4.2,11.5
10/1/2010,3.9,13.5
1/1/2011,3.9,15.6
4/1/2011,2.1,11.2
7/1/2011,2.8,12.6
10/1/2011,2.9,7.9
1/1/2012,2,2.9
4/1/2012,2.4,-0.8
7/1/2012,3.2,0.6
10/1/2012,1.9,-1.6
1/1/2013,2,1.5
4/1/2013,4.1,7
7/1/2013,2.9,2.3
10/1/2013,4.4,1.4
1/1/2014,4.4,-0.2
4/1/2014,4.5,-5.1
7/1/2014,4.9,-2.9
10/1/2014,4.3,2
