"","DATE","Tier","HPI"
"276",1993-01-01,"High",72.88
"277",1993-02-01,"High",72.81
"278",1993-03-01,"High",72.96
"279",1993-04-01,"High",73.37
"280",1993-05-01,"High",73.77
"281",1993-06-01,"High",73.95
"282",1993-07-01,"High",74.3
"283",1993-08-01,"High",74.43
"284",1993-09-01,"High",74.8
"285",1993-10-01,"High",74.96
"286",1993-11-01,"High",75.05
"287",1993-12-01,"High",75.41
"288",1994-01-01,"High",75.79
"289",1994-02-01,"High",76.6
"290",1994-03-01,"High",76.8
"291",1994-04-01,"High",76.73
"292",1994-05-01,"High",77.15
"293",1994-06-01,"High",77.33
"294",1994-07-01,"High",77.59
"295",1994-08-01,"High",77.61
"296",1994-09-01,"High",77.67
"297",1994-10-01,"High",78.23
"298",1994-11-01,"High",78.81
"299",1994-12-01,"High",79.52
"300",1995-01-01,"High",79.55
"301",1995-02-01,"High",79.81
"302",1995-03-01,"High",79.63
"303",1995-04-01,"High",79.54
"304",1995-05-01,"High",79.35
"305",1995-06-01,"High",79.11
"306",1995-07-01,"High",79.58
"307",1995-08-01,"High",80.07
"308",1995-09-01,"High",80.41
"309",1995-10-01,"High",80.63
"310",1995-11-01,"High",80.72
"311",1995-12-01,"High",81.15
"312",1996-01-01,"High",81.5
"313",1996-02-01,"High",82.11
"314",1996-03-01,"High",82.04
"315",1996-04-01,"High",82.17
"316",1996-05-01,"High",82.26
"317",1996-06-01,"High",82.58
"318",1996-07-01,"High",82.7
"319",1996-08-01,"High",83.06
"320",1996-09-01,"High",83.39
"321",1996-10-01,"High",83.71
"322",1996-11-01,"High",83.94
"323",1996-12-01,"High",83.78
"324",1997-01-01,"High",83.93
"325",1997-02-01,"High",84.07
"326",1997-03-01,"High",84.48
"327",1997-04-01,"High",84.87
"328",1997-05-01,"High",85.35
"329",1997-06-01,"High",85.43
"330",1997-07-01,"High",85.77
"331",1997-08-01,"High",85.74
"332",1997-09-01,"High",86.34
"333",1997-10-01,"High",86.63
"334",1997-11-01,"High",87.15
"335",1997-12-01,"High",87.64
"336",1998-01-01,"High",88.05
"337",1998-02-01,"High",88.57
"338",1998-03-01,"High",89.03
"339",1998-04-01,"High",89.78
"340",1998-05-01,"High",90.31
"341",1998-06-01,"High",90.69
"342",1998-07-01,"High",90.81
"343",1998-08-01,"High",91.04
"344",1998-09-01,"High",91.51
"345",1998-10-01,"High",92.3
"346",1998-11-01,"High",93.13
"347",1998-12-01,"High",93.64
"348",1999-01-01,"High",94.28
"349",1999-02-01,"High",94.69
"350",1999-03-01,"High",95.28
"351",1999-04-01,"High",95.54
"352",1999-05-01,"High",96.24
"353",1999-06-01,"High",96.67
"354",1999-07-01,"High",97.48
"355",1999-08-01,"High",97.74
"356",1999-09-01,"High",98.18
"357",1999-10-01,"High",98.76
"358",1999-11-01,"High",99.21
"359",1999-12-01,"High",100.25
"360",2000-01-01,"High",100.49
"361",2000-02-01,"High",101.73
"362",2000-03-01,"High",101.87
"363",2000-04-01,"High",103.19
"364",2000-05-01,"High",103.63
"365",2000-06-01,"High",104.37
"366",2000-07-01,"High",104.32
"367",2000-08-01,"High",104.57
"368",2000-09-01,"High",104.6
"369",2000-10-01,"High",104.98
"370",2000-11-01,"High",105.55
"371",2000-12-01,"High",105.98
"372",2001-01-01,"High",106.49
"373",2001-02-01,"High",106.76
"374",2001-03-01,"High",107.09
"375",2001-04-01,"High",107.56
"376",2001-05-01,"High",107.81
"377",2001-06-01,"High",108.55
