"x","y","gender"
5,5,"F"
10,5,"F"
15,5,"F"
20,5,"F"
25,5,"F"
30,5,"F"
35,5,"F"
40,5,"F"
45,5,"F"
50,5,"M"
55,5,"M"
60,5,"M"
65,5,"M"
70,5,"M"
75,5,"M"
80,5,"M"
85,5,"M"
90,5,"M"
95,5,"M"
100,5,"M"
5,10,"F"
10,10,"F"
15,10,"F"
20,10,"F"
25,10,"F"
30,10,"F"
35,10,"F"
40,10,"F"
45,10,"F"
50,10,"M"
55,10,"M"
60,10,"M"
65,10,"M"
70,10,"M"
75,10,"M"
80,10,"M"
85,10,"M"
90,10,"M"
95,10,"M"
100,10,"M"
5,15,"F"
10,15,"F"
15,15,"F"
20,15,"F"
25,15,"F"
30,15,"F"
35,15,"F"
40,15,"F"
45,15,"F"
50,15,"M"
55,15,"M"
60,15,"M"
65,15,"M"
70,15,"M"
75,15,"M"
80,15,"M"
85,15,"M"
90,15,"M"
95,15,"M"
100,15,"M"
5,20,"F"
10,20,"F"
15,20,"F"
20,20,"F"
25,20,"F"
30,20,"F"
35,20,"F"
40,20,"F"
45,20,"F"
50,20,"M"
55,20,"M"
60,20,"M"
65,20,"M"
70,20,"M"
75,20,"M"
80,20,"M"
85,20,"M"
90,20,"M"
95,20,"M"
100,20,"M"
5,25,"F"
10,25,"F"
15,25,"F"
20,25,"F"
25,25,"F"
30,25,"F"
35,25,"F"
40,25,"F"
45,25,"F"
50,25,"M"
55,25,"M"
60,25,"M"
65,25,"M"
70,25,"M"
75,25,"M"
80,25,"M"
85,25,"M"
90,25,"M"
95,25,"M"
100,25,"M"
5,30,"F"
10,30,"F"
15,30,"F"
20,30,"F"
25,30,"F"
30,30,"F"
35,30,"F"
40,30,"F"
45,30,"F"
50,30,"M"
55,30,"M"
60,30,"M"
65,30,"M"
70,30,"M"
75,30,"M"
80,30,"M"
85,30,"M"
90,30,"M"
95,30,"M"
100,30,"M"
5,35,"F"
10,35,"F"
15,35,"F"
20,35,"F"
25,35,"F"
30,35,"F"
35,35,"F"
40,35,"F"
45,35,"F"
50,35,"M"
55,35,"M"
60,35,"M"
65,35,"M"
70,35,"M"
75,35,"M"
80,35,"M"
85,35,"M"
90,35,"M"
95,35,"M"
100,35,"M"
5,40,"F"
10,40,"F"
15,40,"F"
20,40,"F"
25,40,"F"
30,40,"F"
35,40,"F"
40,40,"F"
45,40,"F"
50,40,"M"
55,40,"M"
60,40,"M"
65,40,"M"
70,40,"M"
75,40,"M"
80,40,"M"
85,40,"M"
90,40,"M"
95,40,"M"
100,40,"M"
5,45,"F"
10,45,"F"
15,45,"F"
20,45,"F"
25,45,"F"
30,45,"F"
35,45,"F"
40,45,"F"
45,45,"F"
50,45,"M"
55,45,"M"
60,45,"M"
65,45,"M"
70,45,"M"
75,45,"M"
80,45,"M"
85,45,"M"
90,45,"M"
95,45,"M"
100,45,"M"
5,50,"F"
10,50,"F"
